TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
1;23841;1;0;0.47451916358108587
1;29426;0;0;0.4429924248841347
1;48422;1;0;0.5109747662625318
1;35406;0;0;0.5073367302102432
1;15814;0;0;0.5188837139385073
1;5730;0;0;0.5071826760969544
1;44331;0;0;0.4802358513184188
1;43640;1;0;0.5196486073093515
1;17542;0;0;0.5180444504717007
1;10462;0;0;0.4897313000766075
1;23554;0;0;0.5391098654731695
1;44331;1;0;0.47954190349269793
1;41805;1;0;0.5106289666588144
1;4436;0;0;0.5058308195468625
1;17542;1;0;0.5123303481517595
1;17395;1;0;0.5325996993651624
1;35988;0;0;0.4990448498957118
1;4855;0;0;0.5400262727287866
1;12441;0;0;0.49072295906015795
1;15814;1;0;0.5016845436187765
1;4436;1;0;0.5037512401879527
1;19630;0;0;0.4888771995291724
1;40933;0;0;0.49077333714311333
1;19599;1;0;0.504500935542124
1;4855;1;0;0.5174188859964965
1;31871;1;0;0.48253411639859567
1;35018;0;0;0.5183171470869911
1;14817;1;0;0.4678504280975809
1;19599;0;0;0.504500935542124
1;19630;1;0;0.49577756463348943
1;40576;1;0;0.5236171888633289
1;19509;1;0;0.553287811483058
1;28702;1;0;0.5170096563077607
1;21013;1;0;0.47781649634851664
1;22423;1;0;0.5406791739730177
1;35018;1;0;0.5183171470869911
1;40248;1;0;0.4875471504649173
1;23554;1;0;0.5311247525240356
1;40248;0;0;0.4832127349535079
1;10462;1;0;0.4897313000766075
1;49394;0;0;0.49190432525497535
1;35988;1;0;0.4934485359471794
1;44733;0;0;0.48507559279303536
1;16743;1;0;0.48162231083325363
1;44429;1;0;0.5248356599394379
1;15147;0;0;0.49703641978565605
1;22423;0;0;0.5406791739730177
1;5730;1;0;0.4992671584124259
1;44429;0;0;0.5461679246566331
1;49561;0;0;0.4941827679355917
1;28702;0;0;0.49805742236028316
1;40304;0;0;0.5105237973755378
1;36739;1;0;0.5067266411193929
1;31500;1;0;0.4861824391237136
1;49561;1;0;0.5135488587063464
1;15147;1;0;0.5026079211846792
1;42302;0;0;0.5011152521618507
1;31500;0;0;0.4861824391237136
1;783;0;0;0.522404248014773
1;42302;1;0;0.48273587113164335
1;4130;1;0;0.5131564470737876
1;22157;0;0;0.5195293099018369
1;783;1;0;0.522404248014773
1;40304;1;0;0.5007892023619016
1;21013;0;0;0.4907925208652122
1;14817;0;0;0.4678504280975809
1;37540;1;0;0.4861032992255624
1;13372;1;0;0.48495333703022037
1;13372;0;0;0.48495333703022037
1;40576;0;0;0.5066438805537126
1;41805;0;0;0.5106289666588144
1;36739;0;0;0.5091501010328091
1;40933;1;0;0.49077333714311333
1;29426;1;0;0.4739180400706904
1;22157;1;0;0.5228035581122613
1;17395;0;0;0.5438507520636582
1;12441;1;0;0.48447250906686096
1;43640;0;0;0.5256686567761893
1;31871;0;0;0.4761488108888004
1;9997;0;0;0.4703866149922018
1;44733;1;0;0.4881271966340501
1;46998;1;0;0.47468737391749644
1;32043;0;0;0.4604245057155141
1;4130;0;0;0.49601763136408067
1;9997;1;0;0.4828783831128884
1;41834;1;0;0.4366145739203464
1;29977;0;0;0.5326092189576451
1;16743;0;0;0.48162231083325363
1;46998;0;0;0.47364638717207885
1;37540;0;0;0.4861032992255624
1;33715;0;0;0.5112707951642763
1;49394;1;0;0.47758056261309056
1;33715;1;0;0.4935802677453554
1;48422;0;0;0.5109747662625318
1;35406;1;0;0.46677948157622634
1;23841;0;0;0.47451916358108587
1;19509;0;0;0.5044901930157798
1;41834;0;0;0.4366145739203464
1;29977;1;0;0.5339998483792587
1;32043;1;0;0.47575211056843336
4;21013;1;0;0.49332782065497316
4;12441;1;0;0.5008456472107343
4;23841;1;0;0.4980269776915976
4;29977;1;0;0.4442874306210966
4;37540;1;0;0.5043633474764139
4;32043;0;0;0.5155496697799513
4;21013;0;0;0.49332782065497316
4;4436;1;0;0.46979245109265705
4;23554;0;0;0.4383630939927542
4;40576;1;0;0.5454547479300488
4;37540;0;0;0.5130133153560591
4;9997;0;1;0.5443671450229659
4;23554;1;0;0.4432630490167863
4;40248;1;0;0.4938444492914473
4;29977;0;0;0.5149748032023261
4;19509;1;0;0.4715871644552107
4;23841;0;0;0.4980269776915976
4;41834;1;0;0.5201325010211666
4;44429;0;0;0.4797438350539964
4;28702;1;0;0.5394117125582153
4;4130;1;0;0.5240018721997602
4;15147;1;0;0.4879492708154046
4;40248;0;0;0.4990521449006486
4;12441;0;0;0.5014465417273474
4;14817;0;0;0.558868448045949
4;19509;0;0;0.4715871644552107
4;40933;1;0;0.43739184582213186
4;783;0;0;0.478313939774775
4;40304;1;0;0.5209421086716138
4;41834;0;0;0.5201325010211666
4;44733;0;0;0.5461743535522844
4;49394;0;0;0.5016013816089397
4;31871;0;0;0.48981084284885346
4;14817;1;0;0.5594398239416224
4;48422;1;0;0.5083921031714849
4;783;1;0;0.478313939774775
4;35988;0;0;0.5106505352149833
4;46998;0;0;0.5027214186574969
4;10462;1;0;0.49671854852230846
4;4436;0;0;0.4773948866127134
4;16743;1;0;0.478439393168677
4;19630;0;0;0.4838576376131406
4;36739;1;0;0.47666201146546305
4;17395;0;0;0.4914242161684475
4;17542;0;0;0.4835983471709687
4;48422;0;0;0.5083921031714849
4;43640;0;0;0.48189538380159597
4;35018;1;0;0.4754374833838379
4;16743;0;0;0.478439393168677
4;19630;1;0;0.4838576376131406
4;31871;1;0;0.48981084284885346
4;31500;0;1;0.5221876681858638
4;35988;1;0;0.5106505352149833
4;22423;1;0;0.525452063256158
4;46998;1;0;0.5061188919240811
4;35406;0;0;0.5400744499705326
4;17542;1;0;0.4835983471709687
4;4855;0;0;0.4954603894924053
